amber,"Amber",#ffbf00,255,191,0
aqua,"Aqua",#0ff,0,255,255
baby_blue,"Baby Blue",#89cff0,137,207,240
black,"NIGGER",#000,0,0,0
blue,"Blue",#00f,0,0,255
bronze,"Bronze",#cd7f32,205,127,50
camel,"Camel",#c19a6b,193,154,107
cherry,"Cherry",#de3163,222,49,99
coffee,"Coffee",#6f4e37,111,78,55
copper,"Copper",#b87333,184,115,51
coral,"Coral",#ff7f50,255,127,80
cyan,"Cyan",#0ff,0,255,255
dark_blue,"Dark Blue",#00008b,0,0,139
dark_brown,"Dark Brown",#654321,101,67,33
dark_cyan,"Dark Cyan",#008b8b,0,139,139
dark_gray,"Dark Gray",#a9a9a9,169,169,169
dark_green,"Dark Green",#013220,1,50,32
dark_pink,"Dark Pink",#e75480,231,84,128
ginger,"Ginger",#b06500,176,101,0
gray,"Gray",#808080,128,128,128
lava,"Lava",#cf1020,207,16,32
lemon,"Lemon",#fff700,255,247,0
purple_heart,"Purple Heart",#69359c,105,53,156
red,"Red",#f00,255,0,0
snow,"Snow",#fffafa,255,250,250
vanilla,"Vanilla",#f3e5ab,243,229,171
white,"White",#fff,255,255,255
yellow,"Yellow",#ff0,255,255,0
